iter	Passed	Remaining
872	3072	446
873	3075	443
874	3078	439
875	3082	436
876	3085	432
877	3088	429
878	3091	425
879	3095	422
880	3098	418
881	3101	414
882	3104	411
883	3107	407
884	3111	404
885	3114	400
886	3117	397
887	3121	393
888	3124	390
889	3127	386
890	3130	383
891	3135	379
892	3138	376
893	3141	372
894	3144	368
895	3148	365
896	3151	361
897	3154	358
898	3158	354
899	3161	351
900	3165	347
901	3168	344
902	3171	340
903	3175	337
904	3178	333
905	3181	330
906	3185	326
907	3188	323
908	3191	319
909	3194	315
910	3198	312
911	3201	308
912	3204	305
913	3207	301
914	3210	298
915	3214	294
916	3217	291
917	3220	287
918	3224	284
919	3227	280
920	3230	277
921	3233	273
922	3236	270
923	3240	266
924	3243	262
925	3247	259
926	3250	255
927	3253	252
928	3256	248
929	3259	245
930	3263	241
931	3266	238
932	3269	234
933	3272	231
934	3276	227
935	3279	224
936	3283	220
937	3286	217
938	3289	213
939	3292	210
940	3296	206
941	3299	203
942	3302	199
943	3305	196
944	3309	192
945	3312	189
946	3315	185
947	3318	182
948	3322	178
949	3325	175
950	3329	171
951	3332	168
952	3335	164
953	3339	161
954	3342	157
955	3346	154
956	3349	150
957	3352	146
958	3355	143
959	3359	139
960	3362	136
961	3365	132
962	3369	129
963	3372	125
964	3375	122
965	3379	118
966	3382	115
967	3385	111
968	3388	108
969	3392	104
970	3395	101
971	3398	97
972	3401	94
973	3405	90
974	3408	87
975	3412	83
976	3415	80
977	3418	76
978	3421	73
979	3424	69
980	3428	66
981	3431	62
982	3434	59
983	3438	55
984	3441	52
985	3444	48
986	3448	45
987	3451	41
988	3454	38
989	3457	34
990	3461	31
991	3464	27
992	3467	24
993	3470	20
994	3473	17
995	3477	13
996	3480	10
997	3483	6
998	3486	3
999	3490	0
